Entity,Code,Year,GDP per capita (2011 international-$ (PPP-adjusted US$))
Austria,AUT,2010,42475.5907
Azerbaijan,AZE,2010,14084.42127
Bahamas,BHS,2010,24456.57787
Bahrain,BHR,2010,39591.34557
Bangladesh,BGD,2010,2315.79583
Barbados,BRB,2010,17288.96656
Belarus,BLR,2010,15211.58809
Belgium,BEL,2010,40719.96131
Belize,BLZ,2010,7640.732595
Benin,BEN,2010,1728.152055
Bermuda,BMU,2010,60912.42552
Bhutan,BTN,2010,6591.592138
Bolivia,BOL,2010,5109.750153
Bosnia and Herzegovina,BIH,2010,8773.101933
Botswana,BWA,2010,12712.74854
Brazil,BRA,2010,13514.00663
British Virgin Islands,VGB,2010,31546.0417
Brunei,BRN,2010,65319.50758
Bulgaria,BGR,2010,15315.68191
Burkina Faso,BFA,2010,1321.526999
Burundi,BDI,2010,637.4801637
Cambodia,KHM,2010,2443.563602
Cameroon,CMR,2010,2431.024526
Canada,CAN,2010,40198.19333
Cape Verde,CPV,2010,5828.525037
Cayman Islands,CYM,2010,53587.94576
Central African Republic,CAF,2010,860.8745675
Chad,TCD,2010,1821.190498
Chile,CHL,2010,19009.22863
China,CHN,2010,9456.309942
Colombia,COL,2010,10506.99824
Comoros,COM,2010,1427.262527
Congo,COG,2010,4889.218397
Costa Rica,CRI,2010,12615.85989
Cote d'Ivoire,CIV,2010,2787.6684
Croatia,HRV,2010,19849.89748
Curacao,CUW,2010,27727.06095
Cyprus,CYP,2010,35007.52027
Czech Republic,CZE,2010,27627.56259
Democratic Republic of Congo,COD,2010,567.2213274
Denmark,DNK,2010,41962.69003
Djibouti,DJI,2010,2644.82474
Dominica,DMA,2010,10182.44657
Dominican Republic,DOM,2010,11137.93051
Ecuador,ECU,2010,8960.630055
Egypt,EGY,2010,8795.762061
El Salvador,SLV,2010,6240.958376
Equatorial Guinea,GNQ,2010,28152.02764
Estonia,EST,2010,21812.58071
Ethiopia,ETH,2010,927.4044819
Fiji,FJI,2010,6929.800047
Finland,FIN,2010,39089.1889
France,FRA,2010,36770.90891
Gabon,GAB,2010,12905.05415
Gambia,GMB,2010,1699.463334
Georgia,GEO,2010,7313.186004
Germany,DEU,2010,40758.49428
Ghana,GHA,2010,2690.50546
Greece,GRC,2010,29208.99572
Grenada,GRD,2010,10699.6156
Guatemala,GTM,2010,6250.607828
Guinea,GIN,2010,1220.775886
Guinea-Bissau,GNB,2010,1266.364944
Haiti,HTI,2010,1456.312906
Honduras,HND,2010,4110.727947
Hong Kong,HKG,2010,48127.03848
Hungary,HUN,2010,22366.95637
Iceland,ISL,2010,38531.68862
India,IND,2010,4229.969169
Indonesia,IDN,2010,7460.583391
Iran,IRN,2010,17286.66084
Iraq,IRQ,2010,9451.069696
Ireland,IRL,2010,43568.71235
Israel,ISR,2010,30985.19465
Italy,ITA,2010,35517.34412
Jamaica,JAM,2010,7365.133156
Japan,JPN,2010,34847.5644
Jordan,JOR,2010,9782.895916
Kazakhstan,KAZ,2010,18067.66406
Kenya,KEN,2010,2441.841968
Kuwait,KWT,2010,62574.95163
Kyrgyzstan,KGZ,2010,2874.659695
Laos,LAO,2010,3783.616887
Latvia,LVA,2010,17996.30297
Lebanon,LBN,2010,16968.45309
Lesotho,LSO,2010,2156.532495
Liberia,LBR,2010,705.3939961
Lithuania,LTU,2010,20384.5937
Luxembourg,LUX,2010,84125.84215
Macao,MAC,2010,86787.99233
Macedonia,MKD,2010,11418.71519
Madagascar,MDG,2010,658.0910324
Malawi,MWI,2010,1031.162515
Malaysia,MYS,2010,19813.90805
Maldives,MDV,2010,12324.33914
Mali,MLI,2010,1457.521182
Malta,MLT,2010,29205.79388
Mauritania,MRT,2010,2847.673272
Mauritius,MUS,2010,15319.6886
Mexico,MEX,2010,14623.5569
Moldova,MDA,2010,3749.950575
Mongolia,MNG,2010,7304.106327
Montenegro,MNE,2010,13114.09388
Montserrat,MSR,2010,17236.43503
Morocco,MAR,2010,6315.9583
Mozambique,MOZ,2010,939.0822127
Myanmar,MMR,2010,3502.123308
Namibia,NAM,2010,8194.018787
Nepal,NPL,2010,1816.095483
Netherlands,NLD,2010,45009.44694
New Zealand,NZL,2010,31272.65951
Nicaragua,NIC,2010,3931.063855
Niger,NER,2010,762.235132
Nigeria,NGA,2010,5172.918831
Norway,NOR,2010,58127.26259
Oman,OMN,2010,43782.14918
Pakistan,PAK,2010,4071.975247
Palestine,PSE,2010,3969.885764
Panama,PAN,2010,14652.07078
Paraguay,PRY,2010,6831.075192
Peru,PER,2010,9604.099725
Philippines,PHL,2010,5470.466066
Poland,POL,2010,21051.29149
Portugal,PRT,2010,27530.07085
Qatar,QAT,2010,121528.417
Romania,ROU,2010,16714.1387
Russia,RUS,2010,20205.83027
Rwanda,RWA,2010,1278.875804
Saint Kitts and Nevis,KNA,2010,19678.15315
Saint Lucia,LCA,2010,10045.56985
Saint Vincent and the Grenadines,VCT,2010,9137.474774
Sao Tome and Principe,STP,2010,2527.537328
Saudi Arabia,SAU,2010,40416.17482
Senegal,SEN,2010,2107.606912
Serbia,SRB,2010,11601.04449
Seychelles,SYC,2010,20216.58587
Sierra Leone,SLE,2010,1241.203085
Singapore,SGP,2010,69141.09746
Sint Maarten (Dutch part),SXM,2010,38240.81294
Slovakia,SVK,2010,25003.71459
Slovenia,SVN,2010,28086.74217
South Africa,ZAF,2010,11493.27886
South Korea,KOR,2010,32326.61794
Spain,ESP,2010,33267.6634
Sri Lanka,LKA,2010,7646.205108
Sudan (former),,2010,3494.014268
Suriname,SUR,2010,13873.98256
Swaziland,SWZ,2010,7786.352161
Sweden,SWE,2010,41888.03992
Switzerland,CHE,2010,52052.13734
Syria,SYR,2010,5633.405945
Taiwan,TWN,2010,39961.98643
Tajikistan,TJK,2010,2459.203534
Tanzania,TZA,2010,1920.42471
Thailand,THA,2010,13108.99449
Togo,TGO,2010,1213.705397
Trinidad and Tobago,TTO,2010,25999.25787
Tunisia,TUN,2010,10505.13892
Turkey,TUR,2010,16198.12456
Turkmenistan,TKM,2010,14827.07986
Turks and Caicos Islands,TCA,2010,21260.98708
Uganda,UGA,2010,1688.758961
Ukraine,UKR,2010,9074.938983
United Arab Emirates,ARE,2010,56490.12156
United Kingdom,GBR,2010,36491.05954
United States,USA,2010,49596.1532
Uruguay,URY,2010,16457.6411
Uzbekistan,UZB,2010,6676.231771
Venezuela,VEN,2010,15118.51351
Vietnam,VNM,2010,4237.814669
Yemen,YEM,2010,4108.446694
Zambia,ZMB,2010,3076.108103
Zimbabwe,ZWE,2010,1477.949834
Albania,ALB,2009,8886.302578
Algeria,DZA,2009,11036.99576
Angola,AGO,2009,4675.46843
Anguilla,AIA,2009,29119.4296
Antigua and Barbuda,ATG,2009,21447.4116
Argentina,ARG,2009,16976.83846
Armenia,ARM,2009,6536.578985
Aruba,ABW,2009,43563.79583
Australia,AUS,2009,41616.34002
Austria,AUT,2009,41822.79902
Azerbaijan,AZE,2009,11370.94213
Bahamas,BHS,2009,24537.68389
Bahrain,BHR,2009,36719.02222
Bangladesh,BGD,2009,2082.891723
Barbados,BRB,2009,18975.78287
Belarus,BLR,2009,14110.83626
Belgium,BEL,2009,38890.43825
Belize,BLZ,2009,7357.436029
Benin,BEN,2009,1774.668925
Bermuda,BMU,2009,59879.93214
Bhutan,BTN,2009,6254.594947
Bolivia,BOL,2009,4632.545268
Bosnia and Herzegovina,BIH,2009,8709.448014
Botswana,BWA,2009,11447.85089
Brazil,BRA,2009,11777.41835
British Virgin Islands,VGB,2009,32079.62123
Brunei,BRN,2009,62880.22562
Bulgaria,BGR,2009,15038.30144
Burkina Faso,BFA,2009,1246.892712
Burundi,BDI,2009,599.3658053
Cambodia,KHM,2009,2396.55183
Cameroon,CMR,2009,2379.888936
Canada,CAN,2009,38846.44209
Cape Verde,CPV,2009,5662.427314
Cayman Islands,CYM,2009,56325.42117
Central African Republic,CAF,2009,845.3595817
Chad,TCD,2009,1456.41902
Chile,CHL,2009,16660.17514
China,CHN,2009,8709.034704
Colombia,COL,2009,9793.900071
Comoros,COM,2009,1439.349424
Congo,COG,2009,3141.029445
Costa Rica,CRI,2009,12070.15716
Cote d'Ivoire,CIV,2009,2570.544054
Croatia,HRV,2009,20522.45936
Curacao,CUW,2009,28493.44168
Cyprus,CYP,2009,35375.67457
Czech Republic,CZE,2009,27920.26573
Democratic Republic of Congo,COD,2009,336.8045374
Denmark,DNK,2009,40392.90867
Djibouti,DJI,2009,2674.98547
Dominica,DMA,2009,10035.60509
Dominican Republic,DOM,2009,10483.34638
Ecuador,ECU,2009,8500.44229
Egypt,EGY,2009,7831.240593
El Salvador,SLV,2009,5411.710818
Equatorial Guinea,GNQ,2009,19421.48606
Estonia,EST,2009,20995.27399
Ethiopia,ETH,2009,838.6364927
Fiji,FJI,2009,6651.723036
Finland,FIN,2009,38790.64238
France,FRA,2009,36064.80731
Gabon,GAB,2009,12326.15878
Gambia,GMB,2009,1658.876749
Georgia,GEO,2009,6858.791782
Germany,DEU,2009,38725.63895
Ghana,GHA,2009,2577.222739
Greece,GRC,2009,31432.77997
Grenada,GRD,2009,10547.63436
Guatemala,GTM,2009,6094.068752
Guinea,GIN,2009,1080.759471
Guinea-Bissau,GNB,2009,1228.804569
Haiti,HTI,2009,1590.24422
Honduras,HND,2009,3960.79551
Hong Kong,HKG,2009,46315.93763
Hungary,HUN,2009,21736.08957
Iceland,ISL,2009,41660.37757
India,IND,2009,3768.211697
Indonesia,IDN,2009,6423.714445
Iran,IRN,2009,16127.66509
Iraq,IRQ,2009,7999.112356
Ireland,IRL,2009,42887.80672
Israel,ISR,2009,30498.92277
Italy,ITA,2009,35510.8218
Jamaica,JAM,2009,7248.811199
Japan,JPN,2009,33380.01015
Jordan,JOR,2009,9604.786195
Kazakhstan,KAZ,2009,15257.97397
Kenya,KEN,2009,2292.621698
Kuwait,KWT,2009,58980.46325
Kyrgyzstan,KGZ,2009,2815.568408
Laos,LAO,2009,3534.588728
Latvia,LVA,2009,17805.89166
Lebanon,LBN,2009,16704.51984
Lesotho,LSO,2009,2049.723175
Liberia,LBR,2009,670.0756161
Lithuania,LTU,2009,18884.76828
Luxembourg,LUX,2009,80863.46893
Macao,MAC,2009,67550.22188
Macedonia,MKD,2009,11139.37123
Madagascar,MDG,2009,507.5692555
Malawi,MWI,2009,1052.106528
Malaysia,MYS,2009,18648.57884
Maldives,MDV,2009,12261.1361
Mali,MLI,2009,1404.556559
Malta,MLT,2009,27872.23016
Mauritania,MRT,2009,2479.113029
Mauritius,MUS,2009,15051.89138
Mexico,MEX,2009,13813.25319
Moldova,MDA,2009,3341.808538
Mongolia,MNG,2009,6251.86974
Montenegro,MNE,2009,12850.35892
Montserrat,MSR,2009,18087.64517
Morocco,MAR,2009,5962.946865
Mozambique,MOZ,2009,974.0689177
Myanmar,MMR,2009,2828.169948
Namibia,NAM,2009,8021.516862
Nepal,NPL,2009,1628.851794
Netherlands,NLD,2009,45094.56704
New Zealand,NZL,2009,30380.07083
Nicaragua,NIC,2009,3878.749882
Niger,NER,2009,730.8537676
Nigeria,NGA,2009,4792.229845
Norway,NOR,2009,56246.70186
Oman,OMN,2009,40710.89959
Pakistan,PAK,2009,3873.348201
Palestine,PSE,2009,3759.053719
Panama,PAN,2009,14007.131
Paraguay,PRY,2009,5944.968187
Peru,PER,2009,8551.943713
Philippines,PHL,2009,5010.111384
Poland,POL,2009,19654.71911
Portugal,PRT,2009,27011.51223
Qatar,QAT,2009,103910.6479
Romania,ROU,2009,16042.43355
Russia,RUS,2009,17924.66023
Rwanda,RWA,2009,1233.546002
Saint Kitts and Nevis,KNA,2009,19768.22578
Saint Lucia,LCA,2009,9987.672624
Saint Vincent and the Grenadines,VCT,2009,9443.928303
Sao Tome and Principe,STP,2009,2275.08147
Saudi Arabia,SAU,2009,33990.13776
Senegal,SEN,2009,2090.628519
Serbia,SRB,2009,11705.04708
Seychelles,SYC,2009,19490.68766
Sierra Leone,SLE,2009,1208.651025
Singapore,SGP,2009,59965.88315
Sint Maarten (Dutch part),SXM,2009,38106.56378
Slovakia,SVK,2009,23958.46774
Slovenia,SVN,2009,28307.40706
South Africa,ZAF,2009,11155.2277
South Korea,KOR,2009,30426.98598
Spain,ESP,2009,34189.97397
Sri Lanka,LKA,2009,6975.572814
Sudan (former),,2009,3041.68721
Suriname,SUR,2009,12594.88808
Swaziland,SWZ,2009,7697.814369
Sweden,SWE,2009,40281.51251
Switzerland,CHE,2009,51665.68743
Syria,SYR,2009,5215.510253
Taiwan,TWN,2009,36783.87264
Tajikistan,TJK,2009,2272.131694
Tanzania,TZA,2009,1782.224265
Thailand,THA,2009,11812.26311
Togo,TGO,2009,1187.378494
Trinidad and Tobago,TTO,2009,23806.67471
Tunisia,TUN,2009,10153.75661
Turkey,TUR,2009,14914.00691
Turkmenistan,TKM,2009,13599.85475
Turks and Caicos Islands,TCA,2009,21209.47162
Uganda,UGA,2009,1618.72934
Ukraine,UKR,2009,8397.299766
United Arab Emirates,ARE,2009,59752.37748
United Kingdom,GBR,2009,37349.27315
United States,USA,2009,48839.97404
Uruguay,URY,2009,14506.35542
Uzbekistan,UZB,2009,6025.619082
Venezuela,VEN,2009,12711.79604
Vietnam,VNM,2009,3767.940981
Yemen,YEM,2009,3590.456094
Zambia,ZMB,2009,2740.559396
Zimbabwe,ZWE,2009,1518.454452
Albania,ALB,2008,8169.508118
Algeria,DZA,2008,12978.41065
Angola,AGO,2008,5394.978797
Anguilla,AIA,2008,38679.48784
Antigua and Barbuda,ATG,2008,22674.78295
Argentina,ARG,2008,17164.75696
Armenia,ARM,2008,7171.832007
Aruba,ABW,2008,45059.64045
Australia,AUS,2008,42221.57788
Austria,AUT,2008,42401.53893
Azerbaijan,AZE,2008,11962.3473
Bahamas,BHS,2008,26763.67097
Bahrain,BHR,2008,43913.02961
Bangladesh,BGD,2008,1901.610353
Barbados,BRB,2008,19859.20653
Belarus,BLR,2008,14542.55849
Belgium,BEL,2008,39224.12344
Belize,BLZ,2008,7526.563655
Benin,BEN,2008,1785.193719
Bermuda,BMU,2008,61333.51803
Bhutan,BTN,2008,5999.345118
Bolivia,BOL,2008,4617.749959
Bosnia and Herzegovina,BIH,2008,8610.827939
Botswana,BWA,2008,12653.15964
Brazil,BRA,2008,11390.70528
British Virgin Islands,VGB,2008,31975.25852
Brunei,BRN,2008,84288.26944
Bulgaria,BGR,2008,14637.12553
Burkina Faso,BFA,2008,1247.774796
Burundi,BDI,2008,524.8285284
Cambodia,KHM,2008,2401.457323
Cameroon,CMR,2008,2367.930748
Canada,CAN,2008,42106.41941
Cape Verde,CPV,2008,5490.238355
Cayman Islands,CYM,2008,62253.76048
Central African Republic,CAF,2008,874.7378862
Chad,TCD,2008,1661.923747
Chile,CHL,2008,16438.04736
China,CHN,2008,8033.571438
Colombia,COL,2008,9631.376936
Comoros,COM,2008,1463.405592
Congo,COG,2008,3214.958373
Costa Rica,CRI,2008,11685.92414
Cote d'Ivoire,CIV,2008,2387.701451
Croatia,HRV,2008,21373.76606
Curacao,CUW,2008,29418.52713
Cyprus,CYP,2008,36179.37672
Czech Republic,CZE,2008,27947.77033
Democratic Republic of Congo,COD,2008,348.4351871
Denmark,DNK,2008,41976.41231
Djibouti,DJI,2008,2712.699276
Dominica,DMA,2008,10056.61427
Dominican Republic,DOM,2008,10041.50931
Ecuador,ECU,2008,8751.150169
Egypt,EGY,2008,7252.938268
El Salvador,SLV,2008,5005.374676
Equatorial Guinea,GNQ,2008,31964.47199
Estonia,EST,2008,23087.21784
Ethiopia,ETH,2008,840.5627648
Fiji,FJI,2008,6581.590642
Finland,FIN,2008,41016.30346
France,FRA,2008,36651.42497
Gabon,GAB,2008,16429.79049
Gambia,GMB,2008,1644.009617
Georgia,GEO,2008,6510.192572
Germany,DEU,2008,40394.82616
Ghana,GHA,2008,2590.623567
Greece,GRC,2008,32071.61139
Grenada,GRD,2008,11011.6186
Guatemala,GTM,2008,5902.558615
Guinea,GIN,2008,1179.790327
Guinea-Bissau,GNB,2008,1273.182258
Haiti,HTI,2008,1529.889891
Honduras,HND,2008,3952.041211
Hong Kong,HKG,2008,47816.63092
Hungary,HUN,2008,21508.50559
Iceland,ISL,2008,44072.16392
India,IND,2008,3462.540514
Indonesia,IDN,2008,5830.007924
Iran,IRN,2008,16318.95686
Iraq,IRQ,2008,6804.395551
Ireland,IRL,2008,45735.72326
Israel,ISR,2008,30362.86628
Italy,ITA,2008,36437.11498
Jamaica,JAM,2008,7238.981422
Japan,JPN,2008,34651.6083
Jordan,JOR,2008,8317.402296
Kazakhstan,KAZ,2008,16106.66158
Kenya,KEN,2008,2162.688437
Kuwait,KWT,2008,82579.29949
Kyrgyzstan,KGZ,2008,2702.196677
Laos,LAO,2008,3036.783508
Latvia,LVA,2008,20514.09439
Lebanon,LBN,2008,14206.60369
Lesotho,LSO,2008,2085.737511
Liberia,LBR,2008,617.5183427
Lithuania,LTU,2008,21159.1694
Luxembourg,LUX,2008,87724.00829
Macao,MAC,2008,64218.81499
Macedonia,MKD,2008,10509.9449
Madagascar,MDG,2008,552.2461786
Malawi,MWI,2008,1210.010285
Malaysia,MYS,2008,19543.35722
Maldives,MDV,2008,13758.81092
Mali,MLI,2008,1363.763607
Malta,MLT,2008,27487.26474
Mauritania,MRT,2008,2579.885823
Mauritius,MUS,2008,14549.66453
Mexico,MEX,2008,14731.35225
Moldova,MDA,2008,3201.993593
Mongolia,MNG,2008,6669.792351
Montenegro,MNE,2008,13003.00911
Montserrat,MSR,2008,18012.89316
Morocco,MAR,2008,5509.848569
Mozambique,MOZ,2008,989.719351
Myanmar,MMR,2008,2555.87492
Namibia,NAM,2008,8001.87448
Nepal,NPL,2008,1508.528064
Netherlands,NLD,2008,47064.91722
New Zealand,NZL,2008,30203.47488
Nicaragua,NIC,2008,3822.54196
Niger,NER,2008,752.6467082
Nigeria,NGA,2008,4451.642107
Norway,NOR,2008,61665.22289
Oman,OMN,2008,49638.24063
Pakistan,PAK,2008,3632.214216
Palestine,PSE,2008,3562.402914
Panama,PAN,2008,13007.58801
Paraguay,PRY,2008,5807.028056
Peru,PER,2008,8468.210465
Philippines,PHL,2008,4807.622107
Poland,POL,2008,18403.33156
Portugal,PRT,2008,26742.69659
Qatar,QAT,2008,133267.5835
Romania,ROU,2008,15874.00434
Russia,RUS,2008,19951.87704
Rwanda,RWA,2008,1149.906777
Saint Kitts and Nevis,KNA,2008,20289.5873
Saint Lucia,LCA,2008,9704.062987
Saint Vincent and the Grenadines,VCT,2008,9527.710615
Sao Tome and Principe,STP,2008,2259.203838
Saudi Arabia,SAU,2008,41310.77393
Senegal,SEN,2008,1968.818253
Serbia,SRB,2008,11619.70431
Seychelles,SYC,2008,19864.05059
Sierra Leone,SLE,2008,1158.455874
Singapore,SGP,2008,61048.63613
Sint Maarten (Dutch part),SXM,2008,38174.42267
Slovakia,SVK,2008,24575.95982
Slovenia,SVN,2008,30473.04907
South Africa,ZAF,2008,11436.30408
South Korea,KOR,2008,29981.56281
Spain,ESP,2008,35178.04935
Sri Lanka,LKA,2008,6121.04097
Sudan (former),,2008,2805.150357
Suriname,SUR,2008,11920.90615
Swaziland,SWZ,2008,7479.089924
Sweden,SWE,2008,42603.52881
Switzerland,CHE,2008,52301.70138
Syria,SYR,2008,5200.995505
Taiwan,TWN,2008,36785.93227
Tajikistan,TJK,2008,2221.740564
Tanzania,TZA,2008,1714.437974
Thailand,THA,2008,11437.02065
Togo,TGO,2008,1121.896615
Trinidad and Tobago,TTO,2008,34510.84382
Tunisia,TUN,2008,9907.439438
Turkey,TUR,2008,15317.37471
Turkmenistan,TKM,2008,11178.10965
Turks and Caicos Islands,TCA,2008,26970.2329
Uganda,UGA,2008,1475.974391
Ukraine,UKR,2008,9713.587411
United Arab Emirates,ARE,2008,79032.03296
United Kingdom,GBR,2008,39244.97347
United States,USA,2008,50439.48655
Uruguay,URY,2008,13402.7196
Uzbekistan,UZB,2008,5655.354753
Venezuela,VEN,2008,14910.44064
Vietnam,VNM,2008,3594.085156
Yemen,YEM,2008,3594.308729
Zambia,ZMB,2008,2484.404862
Zimbabwe,ZWE,2008,895.6154403
Albania,ALB,2007,7284.930004
Algeria,DZA,2007,12377.68199
Angola,AGO,2007,4724.783773
Anguilla,AIA,2007,39237.70735
Antigua and Barbuda,ATG,2007,21427.17927
Argentina,ARG,2007,16520.37878
Armenia,ARM,2007,6707.46606
Aruba,ABW,2007,44725.13554
Australia,AUS,2007,42021.78767
Austria,AUT,2007,41337.94266
Azerbaijan,AZE,2007,9192.574232
Bahamas,BHS,2007,28242.04974
Bahrain,BHR,2007,41697.60384
Bangladesh,BGD,2007,1761.853108
Barbados,BRB,2007,21232.83644
Belarus,BLR,2007,12752.24452
Belgium,BEL,2007,38446.331
Belize,BLZ,2007,7780.505955
Benin,BEN,2007,1750.663984
Bermuda,BMU,2007,57974.54006
Bhutan,BTN,2007,6251.545657
Bolivia,BOL,2007,4262.991449
Bosnia and Herzegovina,BIH,2007,8102.604122
Botswana,BWA,2007,13338.07244
Brazil,BRA,2007,10398.72522
British Virgin Islands,VGB,2007,33244.54797
Brunei,BRN,2007,74247.74496
Bulgaria,BGR,2007,13491.25764
Burkina Faso,BFA,2007,1235.654682
Burundi,BDI,2007,502.5547939
Cambodia,KHM,2007,2170.836972
Cameroon,CMR,2007,2403.669816
Canada,CAN,2007,41745.75207
Cape Verde,CPV,2007,5079.207831
Cayman Islands,CYM,2007,64232.72975
Central African Republic,CAF,2007,883.6557541
Chad,TCD,2007,1703.853472
Chile,CHL,2007,16873.11213
China,CHN,2007,7858.489686
Colombia,COL,2007,9043.824056
Comoros,COM,2007,1500.012904
Congo,COG,2007,2947.056689
Costa Rica,CRI,2007,11554.70943
Cote d'Ivoire,CIV,2007,2140.409569
Croatia,HRV,2007,20270.27667
Curacao,CUW,2007,29722.92662
Cyprus,CYP,2007,33741.98
Czech Republic,CZE,2007,28129.54268
Democratic Republic of Congo,COD,2007,337.2640838
Denmark,DNK,2007,40718.67933
Djibouti,DJI,2007,2575.093194
Dominica,DMA,2007,9380.656496
Dominican Republic,DOM,2007,10090.07313
Ecuador,ECU,2007,8016.708179
Egypt,EGY,2007,6552.692897
El Salvador,SLV,2007,4502.541609
Equatorial Guinea,GNQ,2007,21337.85792
Estonia,EST,2007,22772.16793
Ethiopia,ETH,2007,767.2013343
Fiji,FJI,2007,6469.859787
Finland,FIN,2007,39425.93636
France,FRA,2007,36306.7648
Gabon,GAB,2007,15934.53783
Gambia,GMB,2007,1630.476688
Georgia,GEO,2007,5948.689838
Germany,DEU,2007,39480.64001
Ghana,GHA,2007,2464.688237
Greece,GRC,2007,31022.87024
Grenada,GRD,2007,10636.14034
Guatemala,GTM,2007,5757.460553
Guinea,GIN,2007,1099.922601
Guinea-Bissau,GNB,2007,1278.553975
Haiti,HTI,2007,1595.775331
Honduras,HND,2007,3952.618306
Hong Kong,HKG,2007,47973.78462
Hungary,HUN,2007,20607.85813
Iceland,ISL,2007,44441.92802
India,IND,2007,3261.41677
Indonesia,IDN,2007,5109.467594
Iran,IRN,2007,16646.42465
Iraq,IRQ,2007,5866.863429
Ireland,IRL,2007,49726.41407
Israel,ISR,2007,30764.0573
Italy,ITA,2007,35671.63892
Jamaica,JAM,2007,7473.011145
Japan,JPN,2007,35470.29837
Jordan,JOR,2007,6742.784467
Kazakhstan,KAZ,2007,14058.29822
Kenya,KEN,2007,2143.351898
Kuwait,KWT,2007,77275.57457
Kyrgyzstan,KGZ,2007,2492.705907
Laos,LAO,2007,2795.622855
Latvia,LVA,2007,19888.49902
Lebanon,LBN,2007,13322.06161
Lesotho,LSO,2007,2019.911828
Liberia,LBR,2007,571.3583344
Lithuania,LTU,2007,19962.46032
Luxembourg,LUX,2007,86322.50062
Macao,MAC,2007,60647.35939
Macedonia,MKD,2007,9801.368983
Madagascar,MDG,2007,568.2576383
Malawi,MWI,2007,1185.819935
Malaysia,MYS,2007,17920.33871
Maldives,MDV,2007,13479.81085
Mali,MLI,2007,1302.526455
Malta,MLT,2007,26565.98347
Mauritania,MRT,2007,2800.544354
Mauritius,MUS,2007,14283.51033
Mexico,MEX,2007,14620.0915
Moldova,MDA,2007,2955.043842
Mongolia,MNG,2007,6597.756944
Montenegro,MNE,2007,12170.76647
Montserrat,MSR,2007,17726.25044
Morocco,MAR,2007,5008.168368
Mozambique,MOZ,2007,967.4934676
Myanmar,MMR,2007,2362.063082
Namibia,NAM,2007,7426.299213
Nepal,NPL,2007,1392.92041
Netherlands,NLD,2007,45493.01629
New Zealand,NZL,2007,31064.5582
Nicaragua,NIC,2007,3726.554347
Niger,NER,2007,716.7582798
Nigeria,NGA,2007,4446.351938
Norway,NOR,2007,57739.01329
Oman,OMN,2007,42525.1506
Pakistan,PAK,2007,3582.977272
Palestine,PSE,2007,3368.890456
Panama,PAN,2007,12120.75294
Paraguay,PRY,2007,5421.363273
Peru,PER,2007,8017.583327
Philippines,PHL,2007,4579.486159
Poland,POL,2007,17783.58718
Portugal,PRT,2007,26511.93535
Qatar,QAT,2007,121736.5167
Romania,ROU,2007,13606.20105
Russia,RUS,2007,18056.30154
Rwanda,RWA,2007,1034.006553
Saint Kitts and Nevis,KNA,2007,19010.61099
Saint Lucia,LCA,2007,9307.767702
Saint Vincent and the Grenadines,VCT,2007,8905.621967
Sao Tome and Principe,STP,2007,2201.62389
Saudi Arabia,SAU,2007,33545.77892
Senegal,SEN,2007,2003.119076
Serbia,SRB,2007,10593.56677
Seychelles,SYC,2007,21489.44239
Sierra Leone,SLE,2007,1121.15199
Singapore,SGP,2007,63690.18189
Sint Maarten (Dutch part),SXM,2007,37858.13412
Slovakia,SVK,2007,22742.36397
Slovenia,SVN,2007,29281.08505
South Africa,ZAF,2007,11421.52442
South Korea,KOR,2007,30238.90935
Spain,ESP,2007,34938.33812
Sri Lanka,LKA,2007,5756.224517
Sudan (former),,2007,2806.768944
Suriname,SUR,2007,11083.25325
Swaziland,SWZ,2007,7453.099102
Sweden,SWE,2007,42294.45714
Switzerland,CHE,2007,50069.97389
Syria,SYR,2007,5090.725542
Taiwan,TWN,2007,38696.41287
Tajikistan,TJK,2007,2229.941063
Tanzania,TZA,2007,1639.742521
Thailand,THA,2007,11105.44772
Togo,TGO,2007,1249.475293
Trinidad and Tobago,TTO,2007,29138.20653
Tunisia,TUN,2007,9461.785385
Turkey,TUR,2007,14568.27602
Turkmenistan,TKM,2007,11238.33826
Turks and Caicos Islands,TCA,2007,25562.44116
Uganda,UGA,2007,1408.277122
Ukraine,UKR,2007,9034.854357
United Arab Emirates,ARE,2007,83118.64091
United Kingdom,GBR,2007,40173.93105
United States,USA,2007,51734.35778
Uruguay,URY,2007,12029.40667
Uzbekistan,UZB,2007,5332.744884
Venezuela,VEN,2007,13169.29469
Vietnam,VNM,2007,3358.255344
Yemen,YEM,2007,3387.16407
Zambia,ZMB,2007,2441.872197
Zimbabwe,ZWE,2007,1232.455137
Albania,ALB,2006,6671.164199
Algeria,DZA,2006,12635.32936
Angola,AGO,2006,4494.814414
Anguilla,AIA,2006,33309.88567
Antigua and Barbuda,ATG,2006,19597.47191
Argentina,ARG,2006,15326.83983
Armenia,ARM,2006,5769.530213
Aruba,ABW,2006,42694.49797
Australia,AUS,2006,41032.48845
Austria,AUT,2006,39687.42276
Azerbaijan,AZE,2006,6722.515652
Bahamas,BHS,2006,27547.0041
Bahrain,BHR,2006,39729.10204
Bangladesh,BGD,2006,1596.933888
Barbados,BRB,2006,21131.91916
Belarus,BLR,2006,11643.7607
Belgium,BEL,2006,36785.43645
Belize,BLZ,2006,7705.529408
Benin,BEN,2006,1737.768635
Bermuda,BMU,2006,54024.26331
Bhutan,BTN,2006,5543.996065
